name,state,population,breast,colorectal,prostate,lung,melanoma,poverty,income,region,black_alone,white_alone,asian_alone,lat,lon
gila,az,53179,81.8,32,54.5,54.3,18,22.6,39868,mountain,0.6243065871866714,78.62502115496719,0.7860245585663513,33.799752,-110.811737
graham,az,37529,118.5,47.4,56.9,45.5,14,21.6,43497,mountain,1.974473074155986,78.87233872471955,0.7061206000692798,32.932716,-109.887438
la paz,az,20304,69.3,32.3,73,54.4,9.7,23.2,33994,mountain,0.37923561859732074,75.22655634357763,0.7289204097714737,33.729264,-113.981338
maricopa,az,4088549,118.9,35.2,91.2,52.2,19.3,17.6,52066,mountain,5.284613196515439,78.60981976735512,3.841803045530334,33.348834,-112.491233
mohave,az,203629,110.8,45.1,83.8,76.6,14.3,21.3,38560,mountain,1.0312872920851155,89.57221220945937,1.2527685152900618,35.70406,-113.757909
navajo,az,108209,83.7,29.4,78.8,39.6,11.9,31.8,37182,mountain,0.8363444815126283,47.698435435130165,0.6090066445489747,35.399539,-110.321403
pima,az,1003338,107.1,34.8,76,50.9,22.1,19.3,43926,mountain,3.5219437517566363,77.31671679932386,2.7206185751959957,32.097379,-111.789949
pinal,az,397604,86.7,30.2,78,45.5,14.7,16.7,49887,mountain,4.5832033882958925,79.97630808543174,1.7540064989285822,32.904309,-111.344714
santa cruz,az,46547,70.8,35.7,54.5,36.1,9.5,22.7,35753,mountain,0.41678303650074117,85.04737147399403,0.766966721808065,31.526001,-110.846571
yavapai,az,218586,118.1,31.7,85.5,51.9,17.4,16.4,40486,mountain,0.5302260895025299,91.97661332381763,0.8573284656839871,34.599881,-112.553864
yuma,az,203292,98.6,31.2,60.8,48,8,19.2,40498,mountain,2.0807508411545954,72.79135430808886,1.2897703795525648,32.769404,-113.905564
alameda,ca,1605217,121.4,36.5,121.6,46,16.6,13,72128,pacific,11.343762245229149,43.85531675779661,28.19444349268666,37.650547,-121.917885
